Size,Time,CPU Usage (%),Memory Usage (MB)
7349,0.006367300025885925,0,0.421875
9006,0.013535600010072812,0,0.51171875
4630,0.013870399998268113,4.8,0.0546875
2598,0.007605600025271997,3.6,0.01953125
5114,0.0044732000096701086,4.4,0.0859375
2701,0.007885700004408136,0,0.0
9215,0.021076500008348376,3.2,0.5
7228,0.01866220001829788,0,0.0703125
6961,0.00861389999045059,3.6,0.01953125
3105,0.0027510999934747815,0,0.0078125
3912,0.013126100006047636,0,0.0078125
6663,0.016569100000197068,13.0,0.0625
6451,0.00878150001517497,0,0.00390625
2944,0.009758200001670048,0,0.01171875
1123,0.0038691999798174948,0,0.0
9726,0.01195499999448657,0,0.15234375
4035,0.013104200013913214,7.7,0.0703125
9423,0.019079599995166063,0,0.2109375
5117,0.0035967000003438443,0,0.0
4211,0.011729299993021414,0,0.0
8710,0.02133680001134053,0,0.0
5657,0.01718640001490712,0,0.17578125
635,0.00250979998963885,0,0.0
7972,0.01521750001120381,0,0.0390625
7368,0.022326799982693046,0,0.109375
6395,0.01916900000651367,0,0.109375
5633,0.018467399990186095,0,0.0
9646,0.023405799991451204,0,0.25390625
867,0.003152999997837469,11.2,0.0
926,0.0033745000255294144,0,0.0
7288,0.009854500007349998,7.1,0.30859375
3395,0.012037300009978935,0,0.03125
1952,0.005755099991802126,3.6,0.00390625
5810,0.009841999999480322,0,0.06640625
9228,0.023481700016418472,0,0.12109375
8884,0.01289149999502115,0,0.171875
2222,0.008314000006066635,0,0.0
3318,0.0028414000116754323,7.200000000000001,0.1015625
508,0.0021822999988216907,0,0.0078125
1916,0.005777599988505244,0,0.0078125
7900,0.023817599983885884,4.2,0.1953125
5018,0.008677300007548183,0,0.03125
6904,0.008497500006342307,0,0.0
7484,0.02021350001450628,0,0.125
7215,0.023662399995373562,0,0.0703125
8473,0.02218109997920692,12.9,0.18359375
3797,0.01099500001873821,0,0.0
2678,0.008047299983445555,0,0.00390625
6439,0.009324799990281463,4.0,0.0
3669,0.01463079999666661,14.899999999999999,0.1640625
3753,0.002868100011255592,0,0.08984375
982,0.003855999995721504,0,0.015625
3135,0.005926799989538267,0,0.0
7773,0.020940399990649894,0,0.0
270,0.0003649999853223562,0,0.0
2185,0.00689839999540709,4.100000000000001,0.00390625
2576,0.008445899991784245,10.5,0.05859375
9973,0.006951999996090308,0,0.19140625
7446,0.006325900001684204,0,0.0
7137,0.005211400013649836,0,0.08984375
4794,0.0034305000153835863,0,0.015625
8511,0.007142899994505569,14.299999999999997,0.0625
9933,0.00886589998845011,0,0.3984375
4659,0.0038315000128932297,0,0.0390625
2391,0.002130000008037314,26.799999999999997,0.01171875
2891,0.002043699991190806,0,0.0546875
2447,0.00814300001366064,0,0.0
8155,0.011067999992519617,0,0.421875
6653,0.01078750001033768,6.8999999999999995,0.0390625
7380,0.009066300000995398,11.899999999999999,0.13671875
9138,0.025349800009280443,0.3000000000000007,0.25390625
5220,0.0035948000149801373,25.0,0.01171875
3476,0.002679500001249835,0,0.0
822,0.000751899991882965,0,0.00390625
1572,0.00508200001786463,7.1,0.03515625
7491,0.02207910001743585,3.4999999999999996,0.421875
2005,0.005580900004133582,0,0.0
7909,0.017745500023011118,0,0.09765625
7889,0.011374599998816848,0,0.00390625
1687,0.005687500000931323,0,0.015625
9197,0.022374200023477897,0,0.390625
3261,0.010365499998442829,0,0.00390625
1246,0.004204600001685321,0,0.0
1899,0.005913600005442277,12.5,0.0
6364,0.020500400016317144,9.0,0.2734375
1849,0.0065191000176128,0,0.0
6506,0.02148009999655187,4.2,0.06640625
1930,0.004085399996256456,0,0.0
968,0.003705899987835437,0,0.0
1931,0.006221099989488721,0,0.00390625
2739,0.010812199994688854,0,0.0859375
2173,0.003741499996976927,0,0.01953125
8440,0.02166719999513589,0,0.2421875
4011,0.012871799990534782,0,0.0078125
8858,0.02565100000356324,3.6,0.1953125
757,0.003514499985612929,0,0.0
8413,0.027911499986657873,6.8999999999999995,0.1953125
8994,0.017671699984930456,0,0.015625
2506,0.00811180000891909,0,0.0
1334,0.0011687000223901123,0,0.046875
